# AFT geometry generated from EventDisp2DwithAFTKK.cc
#
# Units: mm
# fiberID assignment:
#   scan aft_de_low_cut[36][32] in increasing [plane][segment] order;
#   skip nonexistent Y/Y' segments 16..31.
# planeID:
#   -1 = unset. This field is reserved for the EASIROC plane ID and can be
#   filled manually later.
#
# Columns:
# fiberID planeID globalLayerID layerType layerIndex fiberIndex centerX centerY centerZ dirX dirY dirZ length radius
#
  0 -1  0 X  0  0 -48.268729   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
  1 -1  0 X  0  1 -45.168729   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
  2 -1  0 X  0  2 -42.068729   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
  3 -1  0 X  0  3 -38.968729   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
  4 -1  0 X  0  4 -35.868729   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
  5 -1  0 X  0  5 -32.768729   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
  6 -1  0 X  0  6 -29.668729   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
  7 -1  0 X  0  7 -26.568729   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
  8 -1  0 X  0  8 -23.468729   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
  9 -1  0 X  0  9 -20.368729   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
 10 -1  0 X  0 10 -17.268729   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
 11 -1  0 X  0 11 -14.168729   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
 12 -1  0 X  0 12 -11.068729   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
 13 -1  0 X  0 13  -7.968729   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
 14 -1  0 X  0 14  -4.868729   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
 15 -1  0 X  0 15  -1.768729   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
 16 -1  0 X  0 16   1.331271   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
 17 -1  0 X  0 17   4.431271   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
 18 -1  0 X  0 18   7.531271   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
 19 -1  0 X  0 19  10.631271   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
 20 -1  0 X  0 20  13.731271   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
 21 -1  0 X  0 21  16.831271   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
 22 -1  0 X  0 22  19.931271   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
 23 -1  0 X  0 23  23.031271   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
 24 -1  0 X  0 24  26.131271   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
 25 -1  0 X  0 25  29.231271   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
 26 -1  0 X  0 26  32.331271   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
 27 -1  0 X  0 27  35.431271   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
 28 -1  0 X  0 28  38.531271   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
 29 -1  0 X  0 29  41.631271   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
 30 -1  0 X  0 30  44.731271   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
 31 -1  0 X  0 31  47.831271   0.000000 351.860000 0.0 1.0 0.0 50.0 1.5
 32 -1  1 XP 0  0 -49.818729   0.000000 354.560000 0.0 1.0 0.0 50.0 1.5
 33 -1  1 XP 0  1 -46.718729   0.000000 354.560000 0.0 1.0 0.0 50.0 1.5
 34 -1  1 XP 0  2 -43.618729   0.000000 354.560000 0.0 1.0 0.0 50.0 1.5
 35 -1  1 XP 0  3 -40.518729   0.000000 354.560000 0.0 1.0 0.0 50.0 1.5
 36 -1  1 XP 0  4 -37.418729   0.000000 354.560000 0.0 1.0 0.0 50.0 1.5
 37 -1  1 XP 0  5 -34.318729   0.000000 354.560000 0.0 1.0 0.0 50.0 1.5
 38 -1  1 XP 0  6 -31.218729   0.000000 354.560000 0.0 1.0 0.0 50.0 1.5
 39 -1  1 XP 0  7 -28.118729   0.000000 354.560000 0.0 1.0 0.0 50.0 1.5
 40 -1  1 XP 0  8 -25.018729   0.000000 354.560000 0.0 1.0 0.0 50.0 1.5
 41 -1  1 XP 0  9 -21.918729   0.000000 354.560000 0.0 1.0 0.0 50.0 1.5
 42 -1  1 XP 0 10 -18.818729   0.000000 354.560000 0.0 1.0 0.0 50.0 1.5
 43 -1  1 XP 0 11 -15.718729   0.000000 354.560000 0.0 1.0 0.0 50.0 1.5
 44 -1  1 XP 0 12 -12.618729   0.000000 354.560000 0.0 1.0 0.0 50.0 1.5
 45 -1  1 XP 0 13  -9.518729   0.000000 354.560000 0.0 1.0 0.0 50.0 1.5
 46 -1  1 XP 0 14  -6.418729   0.000000 354.560000 0.0 1.0 0.0 50.0 1.5
